numero	classe	numero_processo	menções	primeira_linha	contexto
1756	RE	601247	2	7352	= RE 601.247 AgR, rel. min. Ricardo Lewandowski, j. 29-5-2012, 2ª T, DJE de 13-6-2012
1757	ADI	5520	2	7374	[ADI 5.520, rel. min. Alexandre de Moraes, j. 6-9-2019, P, DJE de 20-9-2019.]
1758	ADI	6337	2	7377	= ADI 1.521, rel. min. Ricardo Lewandowski, j. 19-6-2013, P, DJE de 13-8-2013= ADI 6.337, rel. min. Rosa Weber, j. 24-8-2020, P, DJE de 22-10-2020
1759	ADI	3225	2	7382	[ADI 3.225, voto do rel. min. Cezar Peluso, j. 17-9-2007, P, DJ de 26-10-2007.]
1760	ADI	1448	2	7384	[ADI 1.448, red. do ac. min. Joaquim Barbosa, rel. min. Maurício Corrêa, j. 16-8-2007, P, DJ de 11-10-2007.]
1761	ADI	486	2	7388	[ADI 486, rel. min. Celso de Mello, j. 3-4-1997, P, DJ de 10-11-2006.]
1762	ADI	2349	2	7405	[ADI 2.349, rel. min. Eros Grau, j. 31-8-2005, P, DJ de 14-10-2005.]
1763	RE	549549	2	7406	= RE 549.549 AgR, rel. min. Ellen Gracie, j. 25-11-2008, 2ª T, DJE de 19-12-2008
1764	ADI	2069	2	7410	[ADI 2.069 MC, rel. min. Néri da Silveira, j. 2-2-2000, P, DJ de 9-5-2003.]
1765	ADI	7254	2	7443	Ação direta ajuizada contra norma da Constituição estadual de Pernambuco que autoriza o afastamento parlamentar motivado por razões de interesse parti
1766	HC	115397	2	7455	(...) o mandato parlamentar não implica, por si só, imunidade. Há de apreciar-se o nexo entre as ideias expressadas e as atribuições próprias à repres
1767	ADI	2112	2	7495	[ADI 2.112 MC, rel. min. Sepúlveda Pertence, j. 11-5-2000, P, DJ de 18-5-2001.]
1768	ADI	5619	2	7499	É constitucional legislação federal que estabeleça novas eleições para os cargos majoritários simples – isto é, Prefeitos de Municípios com menos de d
1769	ARE	1462344	2	7517	[ARE 1.462.344, rel. min. Gilmar Mendes, j. 27.10.2025, P, DJE de 03.11.2025.]
1770	RE	140269	2	7525	[RE 140.269, rel. min. Néri da Silveira, j. 1º-10-1996, 2ª T, DJ de 9-5-1997.]
1771	ARE	659543	2	7526	= ARE 659.543 AgR, rel. min. Cármen Lúcia, j. 30-10-2012, 2ª T, DJE de 20-11-2012
1772	RE	600063	2	7544	[RE 600.063, red. do ac. min. Roberto Barroso, j. 25-2-2015, P, DJE de 15-5-2015, Tema 469, com mérito julgado.]
1773	RE	405386	2	7547	Pensão especial a viúva de prefeito. Lei municipal de efeitos concretos. Validade. (...) Imunidade material de vereadores (CF, art. 29, VIII). Extensã
1774	ADI	3915	2	7570	[ADI 3.915, rel. min. Alexandre de Moraes, j. 20-6-2018, P, DJE de 28-6-2018.]
1775	RE	1576466	2	7613	[RE 1.576.466 AgR, rel. min. Flávio Dino, j. 9-2-2026, P, DJE de 23-2-2026.]
1776	ADPF	634	2	7616	Instituição do feriado municipal comemorativo do Dia da Consciência Negra. Competência municipal para instituição de feriado de alta significação étni
1777	RE	1343346	2	7629	[RE 1.343.346 RG, rel. min. Luiz Fux, j. 11.10.2024, P, DJE de 16.10.2024, Tema 1.332, com mérito pendente.]
1778	RE	738481	2	7632	[RE 738.481, rel. min. Edson Fachin, j. 17-8-2021, P, DJE de 25-8-2021, Tema 849, com mérito julgado.]
1779	RE	235736	2	7653	Vide RE 235.736, rel. min. Ilmar Galvão, j. 21-3-2000, 1ª T, DJ de 26-5-2000
1780	AI	729307	2	7656	= AI 729.307 ED, rel. min. Cármen Lúcia, j. 27-10-2009, 1ª T, DJE de 4-12-2009
1781	ADI	478	2	7684	ADI 478, rel. min. Carlos Velloso, j. 9-12-1996, P, DJ de 28-2-1997.]
1782	ADI	845	2	7694	[ADI 845, rel. min. Eros Grau, j. 22-11-2007, P, DJE de 7-3-2008.]
1783	ADI	2340	2	7704	= ADI 2.340, rel. min. Ricardo Lewandowski, j. 6-3-2013, P, DJE de 10-5-2013
1784	ARE	1536905	2	7721	[ARE 1.536.905 AgR, rel. min. Alexandre de Moraes, j. 30.04.2025, P, DJE de 07.05.2025.]
1785	ADPF	1011	2	7731	No julgamento do RE 1.003.433/RJ, tema 642 da repercussão geral, a Corte restringiu-se a examinar a questão da multa aplicada pelo Tribunal de Contas 
1786	ADI	5763	2	7732	A interpretação sistemática dos parágrafos 1º e 4º do artigo 31 da Constituição Federal revela ser possível a extinção de Tribunal de Contas responsáv
1787	ADI	3077	2	7744	Inconstitucionalidade de norma de Constituição estadual que dispensa apresentação de parecer prévio sobre as contas de chefe do Poder Executivo munici
1788	ADI	3756	2	7778	[ADI 3.756, rel. min. Ayres Britto, j. 21-6-2007, P, DJ de 19-10-2007.]
1789	ACO	3427	2	7809	[ACO 3427 MC-Ref, rel. Edson Fachin, j. 24-09-2020, P, DJE de 14-12-2020.]
1790	AI	343461	2	7836	[AI 343.461 AgR, rel. min. Celso de Mello, j. 18-6-2002, 2ª T, DJ de 29-11-2002.]
1791	IF	590	2	7838	[IF 590 QO, rel. min. Celso de Mello, j. 17-9-1998, P, DJ de 9-10-1998.]
1792	ADI	7369	2	7845	É de observância obrigatória pelos Estados o rol taxativo de princípios constitucionais sensíveis previstos no inc. VII do art. 34 da Constituição da 
1793	RCL	2143	2	7884	[Rcl 2.143 AgR, rel. min. Celso de Mello, j. 12-3-2003, P, DJ de 6-6-2003.]
1794	ADI	2167	2	7911	[ADI 2.167, voto do red. do ac. min. Alexandre de Moraes, j. 3-6-2020, P, DJE de 11-11-2020.]
1795	ADI	3496	2	7937	[ADI 3.496, rel. min. Nunes Marques, j. 13.10.2025, P, DJE de 12.11.2025.]
1796	ADI	7352	2	7940	[ADI 7.352, rel. min. Cristiano Zanin, j. 29.09.2025, P, DJE de 02.10.2025.]
1797	ADI	3581	2	7948	[ADI 3.581, rel. min. Nunes Marques, j. 26.11.2024, P, DJE de 18.12.2024.]
1798	ADI	5586	2	7951	Regime Especial de Regularização Cambial e Tributária (RERCT) de bens e direitos de origem lícita, não declarados ou declarados incorretamente, remeti
1799	ADI	4645	2	7952	A contratação integrada é o regime de execução indireta de obras e serviço s de engenharia previsto no art. 9º da Lei 12.462/2011, pelo qual o particu
1800	ADI	4655	2	7952	A contratação integrada é o regime de execução indireta de obras e serviço s de engenharia previsto no art. 9º da Lei 12.462/2011, pelo qual o particu
1801	ADPF	763	2	7955	Decreto nº 10.540, de 06 de novembro de 2020. Padrão mínimo de qualidade do sistema único e integrado de execução orçamentária, administração financei
1802	ADI	2946	2	7959	[ADI 2.946, rel. min. Dias Toffoli, j. 9-3-2022, P, DJE de 18-5-2022.]
1803	ADPF	754	2	7967	[ADPF 754 TPI segunda REF, rel. min. Ricardo Lewandowski, j. 1º-3-2021, P, DJE de 11-3-2021.]
1804	ADI	2472	2	8011	[ADI 2.472, red. do ac. min. Marco Aurélio, rel. min. Maurício Corrêa, j. 1º-4-2004, P, DJ de 9-3-2007.]
1805	ADI	2661	2	8013	[ADI 2.661 MC, rel. min. Celso de Mello, j. 5-6-2002, P, DJ de 23-8-2002.]
1806	ADI	1694	2	8018	[ADI 1.694 MC, rel. min. Néri da Silveira, j. 30-10-1997, P, DJ de 15-12-2000.]
1807	ARE	1553607	2	8020	[ARE 1.553.607 RG, rel. min. Luís Roberto Barroso, j. 19.09.2025, P, DJE de 30.09.2025, Tema 1.428, com mérito julgado.]
1808	SS	5594	2	8049	Ocupação irregular de serventia sem prévia aprovação em concurso público (CF, art. 236, § 3 º). Hipótese de vacância. Nomeação de cônjuge do ex-titula
1809	MS	31697	2	8073	[MS 31.697, rel. min. Dias Toffoli, j. 11-3-2014, 1ª T, DJE de 2-4-2014.]
1810	AI	607616	2	8087	[AI 607.616 AgR, voto do rel. min. Joaquim Barbosa, j. 31-8-2010, 2ª T, DJE de 1º-10-2010.]
1811	RCL	6702	2	8096	[Rcl 6.702 AgR-MC, rel. min. Ricardo Lewandowski, j. 4-3-2009, P, DJE de 30-4-2009.]
1812	RE	318106	2	8097	Concurso para a magistratura do Estado do Piauí. Critérios de convocação para as provas orais. Alteração do edital no curso do processo de seleção. Im
1813	MS	21893	2	8102	Remoção de ofício para acompanhar o cônjuge, independentemente da existência de vagas. (...) Especial proteção do Estado à família (art. 226 da CF). (
1814	RE	549095	2	8104	= RE 549.095 AgR, rel. min. Eros Grau, j. 29-9-2009, 2ª T, DJE de 23-10-2009
1815	ADI	2873	2	8146	Lei orgânica do Distrito Federal que veda limite de idade para ingresso na administração pública. Caracterizada ofensa aos arts. 37, I, e 61, § 1º, II
1816	RE	346180	2	8162	[RE 346.180 AgR, rel. min. Joaquim Barbosa, j. 14-6-2011, 2ª T, DJE de 1º-8-2011.]
1817	RE	590663	2	8166	[RE 590.663 AgR, rel. min. Eros Grau, j. 15-12-2009, 2ª T, DJE de 12-2-2010.]
1818	MS	26700	2	8178	[MS 26.700, rel. min. Ricardo Lewandowski, j. 21-5-2008, P, DJE de 27-6-2008.]
1819	ARE	667309	2	8181	= ARE 667.309 AgR, rel. min. Cármen Lúcia, j. 20-3-2012, 1ª T, DJE de 9-4-2012
1820	ADI	7177	2	8207	“1. É constitucional a criação de órgão para assessoramento e consultoria jurídica de Tribunal de Contas, podendo, todavia, realizar a representação j
1821	ADI	3748	2	8213	[ADI 3.748, rel. min. Marco Aurélio, red. do ac. min. Dias Toffoli, j. 16.6.2023, P, DJE de 17.8.2023.]
1822	ADPF	482	2	8228	[ADPF 482, rel. min. Alexandre de Moraes, j. 3-3-2020, P, DJE de 12-3-2020.]
1823	ADI	2177	2	8232	[ADI 2.177, rel. min. Gilmar Mendes, j. 4-10-2019, P, DJE de 17-10-2019.]
1824	ADI	4303	2	8250	[ADI 4.303, rel. min. Cármen Lúcia, j. 5-2-2014, P, DJE de 28-8-2014.]
1825	ADI	3857	2	8256	[ADI 3.857, rel. min. Ricardo Lewandowski, j. 18-12-2008, P, DJE de 27-2-2009.]
1826	RCL	16950	2	8266	= Rcl 16.950, rel. min. Cármen Lúcia, j. 1º-12-2015, 2ª T, DJE de 18-12-2015
1827	ADI	3706	2	8268	[ADI 3.706, rel. min. Gilmar Mendes, j. 15-08-2007, P, DJ de 5-10-2007.]
1828	ADI	3233	2	8273	[ADI 3.233, rel. min. Joaquim Barbosa, j. 10-5-2007, P, DJ de 14-9-2007.]
1829	ADI	2689	2	8274	O STF firmou sólida jurisprudência no sentido de que o art. 37, II, da CF rejeita qualquer burla à exigência de concurso público. Há diversos preceden
1830	ADI	1808	2	8274	O STF firmou sólida jurisprudência no sentido de que o art. 37, II, da CF rejeita qualquer burla à exigência de concurso público. Há diversos preceden
1831	RE	356612	2	8289	= RE 356.612 AgR, rel. min. Joaquim Barbosa, j. 31-8-2010, 2ª T, DJE de 16-11-2010
1832	ADI	3609	2	8290	Vide ADI 3.609, rel. min. Dias Toffoli, j. 5-2-2014, P, DJE de 30-10-2014
1833	ADI	180	2	8295	[ADI 180, rel. min. Nelson Jobim, j. 3-4-2003, P, DJ de 27-6-2003.]
1834	ADI	123	2	8300	[ADI 123, rel. min. Carlos Velloso, j. 3-2-1997, P, DJ de 12-9-1997.]
1835	ADI	363	2	8303	[ADI 363, rel. min. Sydney Sanches, j. 15-2-1996, P, DJ de 3-5-1996.]
1836	AI	719760	2	8304	= AI 719.760 AgR, rel. min. Gilmar Mendes, j. 16-11-2010, 2ª T, DJE de 1º-12-2010
1837	ADI	598	2	8315	[ADI 598, rel. min. Paulo Brossard, j. 23-9-1993, P, DJ de 12-11-1993.]
1838	ADI	231	2	8317	[ADI 231, rel. min. Moreira Alves, j. 5-8-1992, P, DJ de 13-11-1992.]
1839	RE	222236	2	8319	Vide RE 222.236 AgR, rel. min. Néri da Silveira, j. 17-10-2000, 2ª T, DJ de 24-11-2000
1840	RE	306938	2	8320	Vide RE 306.938 AgR, rel. min. Cezar Peluso, j. 18-9-2007, 2ª T, DJ de 11-10-2007
1841	RE	1316010	2	8323	[RE 1.316.010, rel. min. Flávio Dino, j. 13.10.2025, P, DJE de 28.11.2025, Tema 1.164, com mérito julgado.]
1842	RE	766304	2	8329	A ação judicial visando ao reconhecimento do direito à nomeação de candidato aprovado fora das vagas previstas no edital (cadastro de reserva) deve te
1843	RE	740008	2	8335	É inconstitucional o aproveitamento de servidor, aprovado em concurso público a exigir formação de nível médio, em cargo que pressuponha escolaridade 
1844	RE	960429	2	8339	[RE 960.429, rel. min. Gilmar Mendes, j. 5-3-2020, P, DJE de 24-6-2020, RG, Tema 992, com mérito julgado.]
1845	RE	560900	2	8341	[RE 560.900, rel. min. Roberto Barroso, j. 6-2-2020, P, DJE de 17-8-2020, Tema 22, com mérito julgado.]
1846	RCL	48525	2	8342	Vide Rcl 48.525 AgR, rel. min. Dias Toffoli, j. 11-4-2022, 1ª T, DJE de 13-5-2022
1847	RE	1058333	2	8344	[RE 1.058.333, rel. min. Luiz Fux, j. 21-11-2018, P, DJE de 27-7-2020, Tema 973, com mérito julgado.]
1848	RE	1357064	2	8345	Vide RE 1.357.064 AgR, rel. min. Alexandre de Moraes, j. 2-3-2022, 1ª T, DJE de 8-3-2022
1849	MS	30344	2	8349	Concurso público. Correção de prova. Não compete ao Poder Judiciário, no controle de legalidade, substituir banca examinadora para avaliar respostas d
1850	MS	32074	2	8393	[MS 32.074, rel. min. Luiz Fux, j. 2-9-2014, 1ª T, DJE de 5-11-2014.]
1851	MS	30265	2	8425	[MS 30.265, rel. min. Gilmar Mendes, j. 6-3-2012, 2ª T, DJE de 18-5-2012.]
1852	MS	28103	2	8451	[MS 28.103, rel. min. Marco Aurélio, j. 14-4-2011, P, DJE de 4-5-2011.]
1853	MS	29282	2	8462	= MS 29.282 AgR, rel. min. Teori Zavascki, j. 24-2-2015, 2ª T, DJE de 11-3-2015
1854	SS	4189	2	8473	[SS 4.189 AgR, rel. min. Cezar Peluso, j. 24-6-2010, P, DJE de 13-8-2010.]
1855	SS	3583	2	8474	Vide SS 3.583 AgR, rel. min. Gilmar Mendes, j. 1º-7-2009, P, DJE de 28-8-2009
1856	RE	290346	2	8487	Vide RE 290.346, rel. min. Ilmar Galvão, j. 29-5-2001, 1ª T, DJ de 29-6-2001
1857	RCL	5013	2	8493	Vide Rcl 5.013 AgR, rel. min. Menezes Direito, j. 10-3-2008, P, DJE de 18-4-2008
1858	AI	680939	2	8521	[AI 680.939 AgR, rel. min. Eros Grau, j. 27-11-2007, 2ª T, DJE de 1º-2-2008.]
1859	AI	254417	2	8525	Não ofende o art. 37, II, da Constituição atual o reconhecimento de vínculo empregatício com empresa pública, iniciado sem concurso público, em períod
1860	MS	21322	2	8564	[MS 21.322, rel. min. Paulo Brossard, j. 3-12-1992, P, DJ de 23-4-1993.]
1861	RCL	1728	2	8573	[Rcl 1.728 CS, rel. min. Luiz Fux, j. 24-11-2015, 1ª T, DJE de 18-4-2016.]
1862	RCL	57848	2	8596	[Rcl 57.848, rel. min. Luiz Fux, j. 23.09.2025, P, Informativo STF 1.192.]
1863	RCL	6568	2	8671	Vide Rcl 6.568, rel. min. Eros Grau, j. 21-5-2009, P, DJE de 25-9-2009
1864	ADI	6357	2	8693	(...) Aplicável a todos os entes federativos, o art. 3º da EC 106/2020 possibilita a flexibilização de limitações legais relacionadas à expansão de aç
1865	ADI	6394	2	8693	(...) Aplicável a todos os entes federativos, o art. 3º da EC 106/2020 possibilita a flexibilização de limitações legais relacionadas à expansão de aç
1866	RE	635648	2	8696	Vide RE 635.648, rel. min. Edson Fachin, j. 14-6-2017, P, DJE de 12-9-2017, Tema 403
1867	RE	1500990	2	8712	[RE 1.500.990 RG, rel. min. Luís Roberto Barroso, j. 25.10.2024, P, DJE de 06.11.2024, Tema 1.344, com mérito julgado.]
1868	RE	765320	2	8719	Reafirma-se, para fins de repercussão geral, a jurisprudência do STF no sentido de que a contratação por tempo determinado para atendimento de necessi
1869	RCL	7126	2	8743	= Rcl 7.126 AgR, rel. min. Joaquim Barbosa, j. 20-6-2012, P, DJE de 1º-8-2012
1870	ADPF	1230	2	8756	[ADPF 1.230 REF, rel. min. Cristiano Zanin, j. 06.08.2025, P, DJE de 13.08.2025.]
1871	ADI	1156	2	8764	A previsão de índices distintos para a revisão geral anual, a depender do cargo e da sua remuneração, constante do art. 2º, §2º, e do art. 17, §1º, II
1872	ADI	5560	2	8774	[ADI 5.560, rel. min. Rosa Weber, j. 18-10-2019, P, DJE de 4-11-2019.]
1873	ARE	672428	2	8796	Vide ARE 672.428 AgR, rel. min. Rosa Weber, j. 15-10-2013, 1ª T, DJE de 29-10-2013
1874	ADI	5622	2	8847	[ADI 5.622, rel. min. Nunes Marques, j. 28.08.2025, P, Informativo STF 1.188.]
1875	ADI	3854	2	8861	[ADI 3.854 e ADI 4.014, rel. min. Gilmar Mendes, j. 7-12-2020, P, DJE de 8-2-2021.]
1876	ADI	4014	2	8861	[ADI 3.854 e ADI 4.014, rel. min. Gilmar Mendes, j. 7-12-2020, P, DJE de 8-2-2021.]
1877	ADI	6221	2	8867	[ADI 6.221 MC, red. do ac. min. Alexandre de Moraes, rel. min. Edson Fachin, j. 20-12-2019, P, DJE de 30-4-2020.]
1878	RE	808202	2	8877	[RE 808.202, rel. min. Dias Toffoli, j. 24-8-2020, P, DJE de 25-11-2020, Tema 779, com mérito julgado.]
1879	RE	663696	2	8881	[RE 663.696, rel. min. Luiz Fux, j. 28 -2-2019, P, DJE de 22-8-2019, Tema 510, com mérito julgado.]
1880	RE	612975	2	8883	[RE 612.975 e RE 602.043, rel. min. Marco Aurélio, j. 27-4-2017, P, DJE de 8-9-2017, Tema 377 e Tema 384, com mérito julgado.]
1881	RE	602043	2	8883	[RE 612.975 e RE 602.043, rel. min. Marco Aurélio, j. 27-4-2017, P, DJE de 8-9-2017, Tema 377 e Tema 384, com mérito julgado.]
1882	RE	609381	2	8890	[RE 609.381, rel. min. Teori Zavascki, j. 2-10-2014, P, DJE de 11-12-2014, Tema 480, com mérito julgado.]
1883	RE	1508596	2	8893	O teto remuneratório das carreiras jurídicas previstas na Seção II, do Título IV da Constituição Federal – procuradores dos Estados e Municípios – são
1884	ARE	1514053	2	8894	[ARE 1.514.053 AgR, rel. min. Flávio Dino, red. do ac. min. Alexandre de Moraes, j. 06.08.2025, 1ª T, DJE de 01.10.2025.]
1885	RE	1441764	2	8897	Acumulação remunerada de cargos públicos. Policial militar inativo. Professor em academia de polícia. Teto constitucional que incide isoladamente sobr
1886	MS	30180	2	8899	[MS 30.180 AgR, rel. min. Dias Toffoli, j. 21-10-2014, 1ª T, DJE de 21-11-2014.]
1887	MS	29093	2	8900	= MS 29.093 ED-ED-AgR, rel. min. Teori Zavascki, j. 14-4-2015, 2ª T, DJE de 3-8-2015
1888	RE	464876	2	8907	[RE 464.876 AgR, rel. min. Cármen Lúcia, j. 16-12-2008, 1ª T, DJE de 20-2-2009.]
1889	AI	339636	2	8909	Vide AI 339.636 AgR, rel. min. Ilmar Galvão, j. 16-10-2001, 1ª T, DJ de 14-12-2001
1890	ADI	6943	2	8944	(...) este Supremo Tribunal (...) assentou que a interpretação adequada do § 4º do art. 73 da Constituição da República é aquela que estende aos audit
1891	ADI	6939	2	8945	(...) não há inconstitucionalidade na norma que estabelece que auditores de contas, quando no exercício das demais atribuições da judicatura, devem re
1892	ADI	6951	2	8947	[ADI 6.951, rel. min. Edson Fachin, j. 13-6-2022, P, DJE de 28-6-2022.]
1893	ADI	3804	2	8949	[ADI 3.804, rel. min. Dias Toffoli, j. 6-12-2021, P, DJE de 16-3-2022.]
1894	RE	563708	2	8988	Servidor público. Inexistência de direito adquirido a regime jurídico. Base de cálculo de vantagens pessoais. Efeito cascata: proibição constitucional
1895	MS	22891	2	9007	[MS 22.891, rel. min. Carlos Velloso, j. 3-8-1998, P, DJ de 7-11-2003.]
1896	RE	446800	2	9010	= RE 446.800 ED, rel. min. Cármen Lúcia, j. 8-9-2009, 1ª T, DJE de 2-10-2009
1897	ADI	5026	2	9018	[ADI 5.026, rel. min. Rosa Weber, j. 3-3-2020, P, DJE de 12-3-2020.]
1898	RE	597396	2	9035	[RE 597.396, red. do ac. min. Alexandre de Moraes, j. 16-9-2020, P, DJE de 5-10-2020, Tema 690, com mérito julgado.]
1899	MS	25552	2	9079	[MS 25.552, rel. min. Cármen Lúcia, j. 7-4-2008, P, DJE de 30-5-2008.]
1900	MS	36882	2	9109	Militar da reserva remunerada que reingressa no serviço público, em cargo civil, após a vigência da Emenda Constitucional n. 20/1998, não tem direito 
1901	RE	169807	2	9124	[RE 169.807, rel. min. Carlos Velloso, j. 24-6-1996, 2ª T, DJ de 8-11-1996.]
1902	RE	553670	2	9144	[RE 553.670 AgR, rel. min. Ellen Gracie, j. 14-9-2010, 2ª T, DJE de 1º-10-2010.]
1903	AI	169323	2	9147	Vide AI 169.323 AgR, rel. min. Carlos Velloso, j. 18-6-1996, 2ª T, DJ de 14-11-1996
1904	MS	26117	2	9183	[MS 26.117, rel. min. Eros Grau, j. 20-5-2009, P, DJE de 6-11-2009.]
1905	ADI	3816	2	9199	[ADI 3.816, rel. min. Nunes Marques, j. 31.03.2025, P, DJE de 11.04.2025.]
1906	ADI	1863	2	9216	[ADI 1.863, rel. min. Eros Grau, j. 6-9-2007, P, DJE de 15-2-2008.]
1907	RE	610523	2	9235	[RE 610.523 e RE 656.558, rel. min. Dias Toffoli, j. 28.10.2025, P, DJE de 26.02.2025.]
1908	RE	656558	2	9235	[RE 610.523 e RE 656.558, rel. min. Dias Toffoli, j. 28.10.2025, P, DJE de 26.02.2025.]
1909	RCL	58799	2	9242	[Rcl 58.799 AgR, rel. min. Edson Fachin, red. do ac. min. André Mendonça, j. 27.11.2023, 2ª T, DJE de 29.02.2024.]
1910	RCL	8150	2	9261	[Rcl 8.150 AgR, red. do ac. min. Ellen Gracie, j. 24-11-2010, P, DJE de 3-3-2011.]
1911	MS	27008	2	9263	[MS 27.008, rel. min. Ayres Britto, j. 17-2-2010, P, DJE de 12-3-2010.]
1912	MS	26250	2	9281	= MS 26.250, rel. min. Ayres Britto, j. 17-2-2010, P, DJE de 12-3-2010
1913	RE	705140	2	9303	Contratação de pessoal pela administração pública sem concurso. Nulidade. Efeitos jurídicos admissíveis em relação a empregados: pagamento de saldo sa
1914	ADI	4295	2	9314	[ADI 4.295, rel. min. Marco Aurélio, red. do ac. Gilmar Mendes, j. 21.8.2023, P, DJE de 2.10.2023.]
1915	PET	3230	2	9318	= Pet 3.230 AgR, rel. min. red. do ac. min. Roberto Barroso, j. 10-5-2018, P, DJE de 22-8-2018
1916	ARE	1492981	2	9342	Esta CORTE possui entendimento de que o Ministério Público possui legitimidade ad causam para propor Ação Civil Pública que busque o ressarcimento de 
1917	PET	4089	2	9355	[Pet 4.089 AgR, rel. min. Celso de Mello, j. 24-10-2007, P, DJE de 1º-2-2013.]
1918	RCL	4119	2	9359	Vide Rcl 4.119 AgR, rel. min. Cármen Lúcia, j. 6-10-2011, P, DJE de 28-10-2011
1919	ADI	1358	2	9389	[ADI 1.358, rel. min. Gilmar Mendes, j. 4-2-2015, P, DJE de 3-3-2015.]
1920	RE	632115	2	9393	[RE 632.115, rel. min. Luís Roberto Barroso, j. 29.09.2025, P, DJE de 01.12.2025, Tema 950, com mérito julgado.]
1921	ARE	663647	2	9441	[ARE 663.647 AgR, rel. min. Cármen Lúcia, j. 14-2-2012, 1ª T, DJE de 6-3-2012.]
1922	RE	553637	2	9456	[RE 553.637 ED, rel. min. Ellen Gracie, j. 4-8-2009, 2ª T, DJE de 25-9-2009.]
1923	AI	455846	2	9468	Vide AI 455.846, rel. min. Celso de Mello, j. 11-10-2004, dec. monocrática, DJ de 21-10-2004
1924	RE	209354	2	9513	[RE 209.354 AgR, rel. min. Carlos Velloso, j. 2-3-1999, 2ª T, DJ de 16-4-1999.]
1925	RE	518894	2	9514	= RE 518.894 AgR, rel. min. Ayres Britto, j. 2-8-2011, 2ª T, DJE de 23-9-2011
1926	ADI	6584	2	9536	Teto remuneratório aos empregados de empresas públicas e sociedades de economia mista não dependentes do erário do Distrito Federal. Violação ao art. 
1927	AI	264217	2	9542	A Carta de 1988 veda a percepção simultânea de proventos de aposentadoria com remuneração de cargo, emprego ou função pública, ressalvadas hipóteses –
1928	MS	24742	2	9554	O art. 93, § 9º, da Constituição do Brasil de 1967, na redação da EC 1/1969, bem como a Constituição de 1988, antes da EC 20/1998, não obstavam o reto
1929	ADI	199	2	9567	[ADI 199, rel. min. Maurício Corrêa, j. 22-4-1998, P, DJ de 7-8-1998.]
1930	RE	1500797	2	9595	[RE 1.500.797 RG, rel. min. Luís Roberto Barroso, j. 18.11.2024, P, DJE de 22.11.2024, Tema 1.356, com repercussão geral negada.]
1931	ADI	4921	2	9620	[ADI 4.921, rel. min. Nunes Marques, j. 20.10.2025, P, DJE de 27.10.2025.]
1932	ADI	6799	2	9649	[ADI 6.799, rel. min. Cristiano Zanin, j. 26.05.2025, P, DJE de 04.06.2025.]
1933	ADI	4941	2	9700	[ADI 4.941, red. do ac. min. Luiz Fux, j. 14-8-2019, P, DJE de 7-2-2020.]
1934	ADI	4587	2	9702	[ADI 4.587, rel. min. Ricardo Lewandowski, j. 22-5-2014, P, DJE de 18-6-2014.]
1935	ADI	3923	2	9704	[ADI 3.923 MC, rel. min. Eros Grau, j. 16-8-2007, P, DJE de 15-2-2008.]
1936	RE	650898	2	9709	[RE 650.898, red. do ac. min. Roberto Barroso, j. 1º-2-2017, P, DJE de 24-8-2017, Tema 484, com mérito julgado.]
1937	ADI	4824	2	9746	“1. É constitucional norma de lei estadual que imponha ao Ministério Público (i) a vinculação ao regime próprio de previdência social do respectivo en
1938	ADI	4859	2	9746	“1. É constitucional norma de lei estadual que imponha ao Ministério Público (i) a vinculação ao regime próprio de previdência social do respectivo en
1939	ADI	2791	2	9755	[ADI 2.791, rel. min. Gilmar Mendes, j. 16-8-2006, P, DJ de 24-11-2006.]
1940	AI	668533	2	9764	= AI 668.533 AgR, rel. min. Cármen Lúcia, j. 25-10-2011, 1ª T, DJE de 23-11-2011
1941	RE	565936	2	9765	Vide RE 565.936 AgR, rel. min. Ellen Gracie, j. 26-10-2010, 2ª T, DJE de 29-11-2010
1942	RE	1426306	2	9770	[RE 1.426.306 RG-ED, rel. min. Luís Roberto Barroso, j. 11.06.2024, P, DJE de 21.06.2024, Tema 1.254, com mérito julgado.]
1943	ARE	1069876	2	9778	[ARE 1.069.876 AgR, rel. min. Dias Toffoli, j. 27-10-2017, 2ª T, DJE de 13-11-2017.]
1944	RE	1381137	2	9779	= RE 1.381.137 AgR, rel. min. Alexandre de Moraes, red. do ac. min. Roberto Barroso, j. 16-8-2022, 1ª T, DJE de 29-8-2022
1945	RE	1447945	2	9817	[RE 1.447.945 RG, rel. min. Alexandre de Moraes, j. 09.08.2024, P, DJE de 27.08.2024, Tema 1.310, com mérito pendente.]
1946	RE	556504	2	9830	Vide RE 556.504 ED, rel. min. Dias Toffoli, j. 10-8-2010, 1ª T, DJE de 25-10-2010Vide RE 647.827, rel. min. Gilmar Mendes, j. 15-2-2017, P, DJE de 1º-
1947	RE	647827	2	9830	Vide RE 556.504 ED, rel. min. Dias Toffoli, j. 10-8-2010, 1ª T, DJE de 25-10-2010Vide RE 647.827, rel. min. Gilmar Mendes, j. 15-2-2017, P, DJE de 1º-
1948	MS	34407	2	9838	Pretensão de reversão de aposentadoria compulsória de membro septuagenário do MPU, aposentado compulsoriamente antes do advento da LC 152/2015. A sing
1949	ADI	7727	2	9841	[ADI 7.727 MC-REF, rel. min. Flávio Dino, j. 25.04.2025, P, DJE de 07.05.2025.]
1950	RE	662406	2	9922	[RE 662.406, rel. min. Teori Zavascki, j. 11-12-2014, P, DJE de 18-2-2015, Tema 664, com mérito julgado.]
